Transaction Date,Post Date,Description,Category,Type,Amount
01/23/2020,01/23/2020,AMZN Mktp US,Shopping,Return,24.89
01/23/2020,01/23/2020,AMZN Mktp US,Shopping,Return,11.80
01/23/2020,01/23/2020,AMZN Mktp US,Shopping,Return,11.80
01/23/2020,01/23/2020,AMZN Mktp US,Shopping,Return,10.70
01/11/2020,01/12/2020,AMZN Mktp US,Shopping,Return,10.81
01/07/2020,01/07/2020,AMZN Mktp US,Shopping,Return,6.92
04/20/2020,04/20/2020,AMZN Mktp US*1613V8Z43,Shopping,Sale,-9.73
10/28/2020,10/29/2020,AMZN Mktp US*289VU0FI1,Shopping,Sale,-30.30
01/21/2020,01/22/2020,AMZN Mktp US*3T05W0C53,Shopping,Sale,-5.95
02/13/2020,02/13/2020,AMZN Mktp US*418MX6AY3,Shopping,Sale,-18.39
02/10/2020,02/11/2020,AMZN Mktp US*684FZ6NZ3,Shopping,Sale,-21.64
02/12/2020,02/12/2020,AMZN Mktp US*6O0IJ22L3,Shopping,Sale,-20.23
02/10/2020,02/10/2020,AMZN Mktp US*6V0YS9U13,Shopping,Sale,-18.37
01/03/2020,01/05/2020,AMZN Mktp US*7E8Y39F83,Shopping,Sale,-14.06
03/09/2020,03/10/2020,AMZN Mktp US*7N7BL8AJ3,Shopping,Sale,-14.89
05/03/2020,05/04/2020,AMZN Mktp US*7Q2Y15KI3,Shopping,Sale,-15.14
01/22/2020,01/22/2020,AMZN Mktp US*826206TC3,Shopping,Sale,-15.14
01/30/2020,01/31/2020,AMZN Mktp US*9800D80J3,Shopping,Sale,-38.13
02/07/2020,02/07/2020,AMZN Mktp US*9X7JX04B3,Shopping,Sale,-10.81
03/22/2020,03/23/2020,AMZN Mktp US*C38OQ49I3,Shopping,Sale,-15.00
02/06/2020,02/07/2020,AMZN Mktp US*CU0C06UG3,Shopping,Sale,-11.90
04/24/2020,04/26/2020,AMZN Mktp US*DA5S13M73,Shopping,Sale,-35.27
03/18/2020,03/18/2020,AMZN Mktp US*DZ04Y0UN3,Shopping,Sale,-5.42
04/20/2020,04/20/2020,AMZN Mktp US*EY5Q22N73,Shopping,Sale,-10.81
03/17/2020,03/18/2020,AMZN Mktp US*FF8FW36P3,Shopping,Sale,-24.89
01/24/2020,01/24/2020,AMZN Mktp US*FI4FZ65Y3,Shopping,Sale,-15.14
03/11/2020,03/11/2020,AMZN Mktp US*G42873KH3,Shopping,Sale,-16.23
01/14/2020,01/14/2020,AMZN Mktp US*GD4I86YY3,Shopping,Sale,-11.80
03/11/2020,03/11/2020,AMZN Mktp US*GV5G40QO3,Shopping,Sale,-16.11
01/30/2020,01/31/2020,AMZN Mktp US*HW9493RQ3,Shopping,Sale,-22.72
04/14/2020,04/14/2020,AMZN Mktp US*II7TV8JN3,Shopping,Sale,-32.46
04/23/2020,04/24/2020,AMZN Mktp US*IV4PB0IX3,Shopping,Sale,-22.72
04/24/2020,04/26/2020,AMZN Mktp US*JI4YX4YW3,Shopping,Sale,-24.89
02/10/2020,02/10/2020,AMZN Mktp US*JM5996NH3,Shopping,Sale,-14.02
01/14/2020,01/14/2020,AMZN Mktp US*LX0I02Z93,Shopping,Sale,-11.80
09/21/2020,09/22/2020,AMZN Mktp US*M41304X02,Shopping,Sale,-8.65
09/18/2020,09/18/2020,AMZN Mktp US*M41IU0T72,Shopping,Sale,-15.10
09/19/2020,09/20/2020,AMZN Mktp US*M42R36092,Shopping,Sale,-21.64
09/21/2020,09/22/2020,AMZN Mktp US*M44331X22,Shopping,Sale,-17.31
09/21/2020,09/22/2020,AMZN Mktp US*M452353U0,Shopping,Sale,-23.80
09/14/2020,09/15/2020,AMZN Mktp US*M456Z6CN2,Shopping,Sale,-29.20
09/18/2020,09/20/2020,AMZN Mktp US*M459N6OG0,Shopping,Sale,-36.79
09/18/2020,09/18/2020,AMZN Mktp US*M45JF9J22,Shopping,Sale,-25.97
09/18/2020,09/20/2020,AMZN Mktp US*M45T53A12,Shopping,Sale,-11.90
09/21/2020,09/22/2020,AMZN Mktp US*M46364XR2,Shopping,Sale,-17.20
09/23/2020,09/24/2020,AMZN Mktp US*M47462SY1,Shopping,Sale,-24.36
09/17/2020,09/18/2020,AMZN Mktp US*M479T2372,Shopping,Sale,-25.38
09/14/2020,09/15/2020,AMZN Mktp US*M48OI8JD1,Shopping,Sale,-104.80
09/18/2020,09/18/2020,AMZN Mktp US*M49J89JB2,Shopping,Sale,-7.03
05/27/2020,05/27/2020,AMZN Mktp US*M71CL0S00,Shopping,Sale,-10.18
05/26/2020,05/27/2020,AMZN Mktp US*M72KT8MS2,Shopping,Sale,-23.78
05/31/2020,06/01/2020,AMZN Mktp US*M733939J2,Shopping,Sale,-25.95
06/01/2020,06/02/2020,AMZN Mktp US*M79BX3IS2,Shopping,Sale,-21.64
05/12/2020,05/12/2020,AMZN Mktp US*MC3AA46Q1,Shopping,Sale,-16.23
05/15/2020,05/17/2020,AMZN Mktp US*MC9XN7RA0,Shopping,Sale,-16.23
